num_leg,num_gov,data_inicio,data_fim,nome_pm
1,1,23-07-1976,22-01-1978,Mário Soares
1,2,23-01-1978,27-08-1978,Mário Soares
1,3,28-08-1978,20-11-1978,Alfredo Nobre Costa
1,4,21-11-1978,30-07-1979,Carlos Mota Pinto
1,5,31-07-1079,02-01-1980,Maria de Lurdes Pintasilgo
1,6,03-01-1980,04-12-1980,Francisco Sá Carneiro
2,6,04-12-1980,08-01-1981,Diogo Freitas do Amaral
2,7,09-01-1981,03-09-1981,Francisco Pinto Balsemão
2,8,04-09-1981,08-06-1983,Francisco Pinto Balsemão
3,9,09-06-1983,05-11-1985,Mário Soares
4,10,06-11-1985,16-08-1987,Aníbal Cavaco Silva
5,11,17-08-1987,30-10-1991,Aníbal Cavaco Silva
6,12,31-10-1991,27-10-1995,Aníbal Cavaco Silva
7,13,28-10-1995,24-10-1999,António Guterres
8,14,25-10-1999,05-04-2002,António Guterres
9,15,06-04-2002,16-07-2004,José Manuel Durão Barroso
9,16,17-07-2004,11-03-2005,Pedro Santana Lopes
10,17,12-03-2005,25-10-2009,José Sócrates
11,18,26-10-2009,20-06-2011,José Sócrates
12,19,21-06-2011,,Pedro Passos Coelho
